,지역,분기,전체 점포수,프랜차이즈 점포수,일반 점포수,길단위 유동인구,주거 인구,직장 인구,개업수,폐업수,개업률,폐업률
0,서울시 전체,2021-1,571107,45959,525148,37002,159.0,79.0,11979,12372,2.1,2.2
1,종로구,2021-1,24918,1510,23408,19869,63.0,99.0,381,454,1.5,1.8
2,중구,2021-1,38406,1955,36451,44917,126.0,336.0,388,796,1.0,2.1
3,용산구,2021-1,18696,1171,17525,25994,108.0,83.0,310,388,1.7,2.1
4,성동구,2021-1,17085,1338,15747,39264,177.0,49.0,389,351,2.3,2.1
5,광진구,2021-1,18870,1667,17203,51931,196.0,46.0,432,402,2.3,2.1
6,동대문구,2021-1,20926,1456,19470,66321,236.0,55.0,395,429,1.9,2.1
7,중랑구,2021-1,16161,1296,14865,53803,216.0,22.0,359,346,2.2,2.1
8,성북구,2021-1,17019,1562,15457,43694,177.0,45.0,371,385,2.2,2.3
9,강북구,2021-1,13393,1046,12347,35922,130.0,12.0,334,304,2.5,2.3
10,도봉구,2021-1,11671,975,10696,30224,156.0,17.0,269,236,2.3,2.0
11,노원구,2021-1,18182,1831,16351,26530,147.0,16.0,450,447,2.5,2.5
12,은평구,2021-1,18368,1562,16806,38383,154.0,16.0,435,420,2.4,2.3
13,서대문구,2021-1,14793,1471,13322,51787,180.0,38.0,308,350,2.1,2.4
14,마포구,2021-1,28156,2342,25814,42596,151.0,58.0,663,689,2.4,2.4
15,양천구,2021-1,18373,1650,16723,46723,254.0,78.0,455,398,2.5,2.2
16,강서구,2021-1,26095,2598,23497,27698,135.0,35.0,727,706,2.8,2.7
17,구로구,2021-1,22065,1790,20275,36546,200.0,70.0,385,396,1.7,1.8
18,금천구,2021-1,15567,1277,14290,31043,183.0,100.0,342,297,2.2,1.9
19,영등포구,2021-1,27055,2249,24806,44698,176.0,185.0,594,610,2.2,2.3
20,동작구,2021-1,15692,1546,14146,48107,224.0,44.0,318,329,2.0,2.1
21,관악구,2021-1,19720,1873,17847,42961,166.0,25.0,521,443,2.6,2.2
22,서초구,2021-1,36143,2520,33623,19773,89.0,121.0,655,728,1.8,2.0
23,강남구,2021-1,55536,4243,51293,34420,141.0,293.0,1186,1204,2.1,2.2
24,송파구,2021-1,37275,3097,34178,36535,199.0,119.0,808,781,2.2,2.1
25,강동구,2021-1,20942,1934,19008,43755,180.0,29.0,504,483,2.4,2.3
26,서울시 전체,2021-2,572073,45798,526275,36677,159.0,79.0,15400,13967,2.7,2.4
27,종로구,2021-2,24835,1502,23333,20336,63.0,99.0,481,534,1.9,2.2
28,중구,2021-2,38042,1914,36128,46200,126.0,336.0,483,794,1.3,2.1
29,용산구,2021-2,18689,1163,17526,26061,108.0,83.0,389,369,2.1,2.0
30,성동구,2021-2,17145,1348,15797,39606,177.0,49.0,481,397,2.8,2.3
31,광진구,2021-2,18910,1652,17258,51147,196.0,46.0,547,491,2.9,2.6
32,동대문구,2021-2,20884,1452,19432,66218,236.0,55.0,520,522,2.5,2.5
33,중랑구,2021-2,16219,1293,14926,52277,216.0,22.0,540,469,3.3,2.9
34,성북구,2021-2,17060,1553,15507,43142,177.0,45.0,503,446,2.9,2.6
35,강북구,2021-2,13417,1044,12373,35000,130.0,12.0,438,400,3.3,3.0
36,도봉구,2021-2,11713,990,10723,29551,156.0,17.0,341,300,2.9,2.6
37,노원구,2021-2,18200,1831,16369,26115,147.0,16.0,532,503,2.9,2.8
38,은평구,2021-2,18424,1583,16841,37395,154.0,16.0,580,509,3.1,2.8
39,서대문구,2021-2,14847,1473,13374,52116,180.0,38.0,447,377,3.0,2.5
40,마포구,2021-2,28384,2336,26048,42875,151.0,58.0,1007,753,3.5,2.7
