서울시 기준일,서울시 확진자,서울시 추가 확진
2022.12.28.00,5626635,15783
2022.12.27.00,5610852,18725
2022.12.26.00,5592127,3585
2022.12.25.00,5588542,10508
2022.12.24.00,5578034,12083
2022.12.23.00,5566002,12414
2022.12.22.00,5553588,13946
2022.12.21.00,5539642,15564
2022.12.20.00,5524078,18223
2022.12.19.00,5505855,4191
2022.12.18.00,5501664,10649
2022.12.17.00,5491015,12404
2022.12.16.00,5478664,12402
2022.12.15.00,5466262,12830
2022.12.14.00,5453432,15180
2022.12.13.00,5438252,17696
2022.12.12.00,5420556,3910
2022.12.11.00,5416646,9603
2022.12.10.00,5407043,11690
2022.12.09.00,5395385,11853
2022.12.08.00,53838532,11977
2022.12.07.00,5371555,13747
2022.12.06.00,5357808,16372
2022.12.05.00,5341436,3921
2022.12.04.00,5337515,8526
2022.12.03.00,5328989,10369
2022.12.02.00,5318646,10487
2022.12.01.00,5308159,11034
2022.11.30.00,5297125,12290
2022.11.29.00,5284835,15501
2022.11.28.00,5269334,3794
2022.11.27.00,5265540,9160
2022.11.26.00,5256380,10161
2022.11.25.00,5246245,10684
2022.11.24.00,5235561,11456
2022.11.23.00,5224105,13499
2022.11.22.00,5210606,15613
2022.11.21.00,5194993,3826
2022.11.20.00,5191167,8804
2022.11.19.00,5182363,10124
2022.11.18.00,5172272,9742
2022.11.17.00,5162530,10846
2022.11.16.00,5151684,12483
2022.11.15.00,5139201,15539
2022.11.14.00,5123662,3649
2022.11.13.00,5120013,9263
2022.11.12.00,5110750,10836
2022.11.11.00,5099934,10903
2022.11.10.00,5089031,11073
2022.11.09.00,5077958,12481
2022.11.08.00,5065477,14158
2022.11.07.00,5051319,3320
2022.11.06.00,5047999,7163
2022.11.05.00,5040836,8104
2022.11.04.00,5032737,8677
2022.11.03.00,5024068,9547
2022.11.02.00,5014526,10940
2022.11.01.00,5003593,13017
2022.10.31.00,4990582,3099
2022.10.30.00,4987483,6708
2022.10.29.00,4980775,7578
2022.10.28.00,4973197,7480
2022.10.27.00,4965729,6848
2022.10.26.00,4958897,7906
2022.10.25.00,4951008,10066
2022.10.24.00,4940956,2438
2022.10.23.00,4938518,5176
2022.10.22.00,4933342,6016
2022.10.21.00,4927337,5061
2022.10.20.00,4922285,5416
2022.10.19.00,4916878,5897
2022.10.18.00,4910983,7531
2022.10.17.00,4903463,1921
2022.10.16.00,4901542,4191
2022.10.15.00,4897351,4579
2022.10.14.00,4892777,4834
2022.10.13.00,4887950,5254
2022.10.12.00,4882697,6802
2022.10.11.00,4875900,3054
2022.10.10.00,4872846,1494
2022.10.09.00,4871352,3552
2022.10.08.00,4867800,3963
2022.10.07.00,4863862,4319
2022.10.06.00,4859554,5520
2022.10.05.00,4854042,7674
2022.10.04.00,4846376,3086
2022.10.03.00,4843290,2025
2022.10.02.00,4841265,4797
2022.10.01.00,4836468,5584
2022.09.30.00,4830891,5794
2022.09.29.00,4825107,6270
2022.09.28.00,4818845,7122
2022.09.27.00,4811733,8557
2022.09.26.00,4803181,2335
2022.09.25.00,4800846,4888
2022.09.24.00,4795958,5651
2022.09.23.00,4790319,5625
2022.09.22.00,4784699,6154
2022.09.21.00,4778549,7358
2022.09.20.00,4771203,9735
2022.09.19.00,4761487,3199
2022.09.18.00,4758288,5970
2022.09.17.00,4752318,7659
2022.09.16.00,4744665,9225
2022.09.15.00,4735448,11819
2022.09.14.00,4723634,17384
2022.09.13.00,4706258,9552
2022.09.12.00,4696706,6289
2022.09.11.00,4690417,4807
2022.09.10.00,4685610,6081
2022.09.09.00,4679529,12315
2022.09.08.00,4667217,13066
2022.09.07.00,4654166,14538
2022.09.06.00,4639649,18779
2022.09.05.00,4620905,5319
2022.09.04.00,4615586,11939
2022.09.03.00,4603647,13899
2022.09.02.00,4589795,15564
2022.09.01.00,4574258,13325
2022.08.31.00,4560954,15911
2022.08.30.00,4545050,20418
2022.08.29.00,4524644,5756
2022.08.28.00,4518888,13052
2022.08.27.00,4505836,14599
2022.08.26.00,4491244,15757
2022.08.25.00,4475520,17722
2022.08.24.00,4457827,20578
2022.08.23.00,4437282,25679
2022.08.22.00,4411616,7395
2022.08.21.00,4404221,16743
2022.08.20.00,4387478,19973
2022.08.19.00,4367518,21033
2022.08.18.00,4346524,28375
2022.08.17.00,4318180,32523
2022.08.16.00,4285729,13060
2022.08.15.00,4272669,8246
2022.08.14.00,4264423,19596
2022.08.13.00,4244827,21859
2022.08.12.00,4222976,22835
2022.08.11.00,4200150,24516
2022.08.10.00,4175643,26068
2022.08.09.00,4149586,29489
2022.08.08.00,4120126,7867
2022.08.07.00,4112259,18366
2022.08.06.00,4093893,20160
2022.08.05.00,4073752,20817
2022.08.04.00,4052939,20239
2022.08.03.00,4032709,23023
2022.08.02.00,4009707,24615
2022.08.01.00,3985115,7340
2022.07.31.00,3977775,14149
2022.07.30.00,3963626,16588
2022.07.29.00,3947049,17517
2022.07.28.00,3929537,18169
2022.07.27.00,3911407,20083
2022.07.26.00,3891336,23107
2022.07.25.00,3868256,5967
2022.07.24.00,3862289,13809
2022.07.23.00,3848480,14830
2022.07.22.00,3833658,15379
2022.07.21.00,3818284,16670
2022.07.20.00,3801622,17199
2022.07.19.00,3784432,18038
2022.07.18.00,3766412,4896
2022.07.17.00,3761516,8565
2022.07.16.00,3752951,9457
2022.07.15.00,3743496,8951
2022.07.14.00,3734550,9655
2022.07.13.00,3724897,9363
2022.07.12.00,3715539,9412
2022.07.11.00,3706133,2622
2022.07.10.00,3703511,5244
2022.07.09.00,3698267,4900
2022.07.08.00,3693368,4605
2022.07.07.00,3688769,4580
2022.07.06.00,3684190,4770
2022.07.05.00,3679421,4779
2022.07.04.00,3674645,1161
2022.07.03.00,3673484,2440
2022.07.02.00,3671044,2778
2022.07.01.00,3668271,2340
2022.06.30.00,3665933,2282
2022.06.29.00,3663653,2479
2022.06.28.00,3661177,2472
2022.06.27.00,3658710,600
2022.06.26.00,3658110,1310
2022.06.25.00,3656800,1552
2022.06.24.00,3655248,1605
2022.06.23.00,3653647,1580
2022.06.22.00,3652068,1778
2022.06.21.00,3650291,2043
2022.06.20.00,3648259,719
2022.06.19.00,3647540,1108
2022.06.18.00,3646432,1245
2022.06.17.00,3645189,1280
2022.06.16.00,3643911,1549
2022.06.15.00,3642362,1690
2022.06.14.00,3640674,1764
2022.06.13.00,3638911,663
2022.06.12.00,3638248,1160
2022.06.11.00,3637088,1382
2022.06.10.00,3635708,1537
2022.06.09.00,3634172,2009
2022.06.08.00,3632164,2628
2022.06.07.00,3629545,952
2022.06.06.00,3628593,738
2022.06.05.00,3627855,1719
2022.06.04.00,3626136,2254
2022.06.03.00,3623883,2442
2022.06.02.00,3621445,1823
2022.06.01.00,3619622,2926
2022.05.31.00,3616699,3340
2022.05.30.00,3613359,1120
2022.05.29.00,3612239,2018
2022.05.28.00,3610221,2278
2022.05.27.00,3607946,3032
2022.05.26.00,3604920,2788
2022.05.25.00,3602133,3586
2022.05.24.00,3598555,4272
2022.05.23.00,3594289,1213
2022.05.22.00,3593076,2903
2022.05.21.00,3590173,3589
2022.05.20.00,3586586,4110
2022.05.19.00,3582481,4557
2022.05.18.00,3577930,5043
2022.05.17.00,3572888,5889
2022.05.16.00,3567016,1684
2022.05.15.00,3565332,4025
2022.05.14.00,3561307,4764
2022.05.13.00,3556545,5178
2022.05.12.00,3551375,5695
2022.05.11.00,3545685,6208
2022.05.10.00,3539483,8142
2022.05.09.00,3531351,2715
2022.05.08.00,3528636,5979
2022.05.07.00,3522657,6641
2022.05.06.00,3516017,3596
2022.05.05.00,3512421,6645
2022.05.04.00,3505780,7436
2022.05.03.00,3498346,8709
2022.05.02.00,3489696,2653
2022.05.01.00,3487043,5462
2022.04.30.00,3481581,6455
2022.04.29.00,3475126,7726
2022.04.28.00,3467402,9109
2022.04.27.00,3458306,11517
2022.04.26.00,3446789,13560
2022.04.25.00,3433238,4763
2022.04.24.00,3428475,10377
2022.04.23.00,3418098,12352
2022.04.22.00,3405751,13191
2022.04.21.00,3392583,15192
2022.04.20.00,3377399,18322
2022.04.19.00,3359097,21819
2022.04.18.00,3337282,7345
2022.04.17.00,3329937,14805
2022.04.16.00,3315132,18118
2022.04.15.00,3297020,21450
2022.04.14.00,3275574,24976
2022.04.13.00,3250603,33076
2022.04.12.00,3217532,39518
2022.04.11.00,3178037,14247
2022.04.10.00,3163790,28901
2022.04.09.00,3134889,32320
2022.04.08.00,3102577,36212
2022.04.07.00,3066376,39888
2022.04.06.00,3026503,52430
2022.04.05.00,2974084,51500
2022.04.04.00,2922636,20894
2022.04.03.00,2901742,42109
2022.04.02.00,2859633,48673
2022.04.01.00,2810973,51717
2022.03.31.00,2759294,60131
