지역,분기,전체 점포수,프랜차이즈 점포수,일반 점포수,길단위 유동인구,주거 인구,직장 인구,개업수,폐업수,개업률,폐업률
서울시 전체,1분기,"571,107","45,959","525,148","37,002",159,79,"11,979","12,372",2.1,2.2
종로구,1분기,"24,918","1,510","23,408","19,869",63,99,381,454,1.5,1.8
중구,1분기,"38,406","1,955","36,451","44,917",126,336,388,796,1,2.1
용산구,1분기,"18,696","1,171","17,525","25,994",108,83,310,388,1.7,2.1
성동구,1분기,"17,085","1,338","15,747","39,264",177,49,389,351,2.3,2.1
광진구,1분기,"18,870","1,667","17,203","51,931",196,46,432,402,2.3,2.1
동대문구,1분기,"20,926","1,456","19,470","66,321",236,55,395,429,1.9,2.1
중랑구,1분기,"16,161","1,296","14,865","53,803",216,22,359,346,2.2,2.1
성북구,1분기,"17,019","1,562","15,457","43,694",177,45,371,385,2.2,2.3
강북구,1분기,"13,393","1,046","12,347","35,922",130,12,334,304,2.5,2.3
도봉구,1분기,"11,671",975,"10,696","30,224",156,17,269,236,2.3,2
노원구,1분기,"18,182","1,831","16,351","26,530",147,16,450,447,2.5,2.5
은평구,1분기,"18,368","1,562","16,806","38,383",154,16,435,420,2.4,2.3
서대문구,1분기,"14,793","1,471","13,322","51,787",180,38,308,350,2.1,2.4
마포구,1분기,"28,156","2,342","25,814","42,596",151,58,663,689,2.4,2.4
양천구,1분기,"18,373","1,650","16,723","46,723",254,78,455,398,2.5,2.2
강서구,1분기,"26,095","2,598","23,497","27,698",135,35,727,706,2.8,2.7
구로구,1분기,"22,065","1,790","20,275","36,546",200,70,385,396,1.7,1.8
금천구,1분기,"15,567","1,277","14,290","31,043",183,100,342,297,2.2,1.9
영등포구,1분기,"27,055","2,249","24,806","44,698",176,185,594,610,2.2,2.3
동작구,1분기,"15,692","1,546","14,146","48,107",224,44,318,329,2,2.1
관악구,1분기,"19,720","1,873","17,847","42,961",166,25,521,443,2.6,2.2
서초구,1분기,"36,143","2,520","33,623","19,773",89,121,655,728,1.8,2
강남구,1분기,"55,536","4,243","51,293","34,420",141,293,"1,186","1,204",2.1,2.2
송파구,1분기,"37,275","3,097","34,178","36,535",199,119,808,781,2.2,2.1
강동구,1분기,"20,942","1,934","19,008","43,755",180,29,504,483,2.4,2.3
