지역,분기,전체 점포수,프랜차이즈 점포수,일반 점포수,길단위 유동인구,주거 인구,직장 인구,개업수,폐업수,개업률,폐업률
서울시 전체,1분기,"575,518","45,583","529,935","36,420",159,79,"11,421","8,227",2,1.4
종로구,1분기,"24,771","1,469","23,302","19,747",63,99,396,304,1.6,1.2
중구,1분기,"37,337","1,878","35,459","19,747",126,336,348,444,0.9,1.2
용산구,1분기,"18,868","1,158","17,710","25,927",108,83,351,227,1.9,1.2
성동구,1분기,"17,381","1,334","16,047","38,730",177,49,374,259,2.2,1.5
광진구,1분기,"19,023","1,637","17,386","51,972",196,46,425,276,2.2,1.5
동대문구,1분기,"20,946","1,482","19,464","65,974",236,55,386,275,1.8,1.3
중랑구,1분기,"16,380","1,307","15,073","51,985",216,22,365,254,2.2,1.6
성북구,1분기,"17,133","1,541","15,592","42,234",177,45,361,266,2.1,1.6
강북구,1분기,"13,480","1,057","12,423","34,857",130,12,298,209,2.2,1.6
도봉구,1분기,"11,820","1,016","10,804","28,954",156,17,266,174,2.3,1.5
노원구,1분기,"18,307","1,816","16,491","25,577",147,16,379,275,2.1,1.5
은평구,1분기,"18,606","1,600","17,006","37,964",154,16,439,302,2.4,1.6
서대문구,1분기,"14,914","1,463","13,451","52,472",180,38,292,198,2,1.2
마포구,1분기,"28,815","2,325","26,490","41,790",151,58,679,436,2.4,1.5
양천구,1분기,"18,644","1,645","16,999","45,985",254,78,414,287,2.2,1.5
강서구,1분기,"26,841","2,572","24,269","26,258",135,35,749,496,2.8,1.8
구로구,1분기,"22,226","1,790","20,436","35,906",200,70,403,287,1.8,1.3
금천구,1분기,"15,708","1,324","14,384","30,785",183,100,293,211,1.9,1.3
영등포구,1분기,"27,197","2,223","24,974","45,092",176,185,540,405,2,1.5
동작구,1분기,"15,636","1,484","14,152","46,606",224,44,292,195,1.9,1.2
관악구,1분기,"19,848","1,861","17,987","42,401",166,25,419,334,2.1,1.7
서초구,1분기,"36,220","2,449","33,771","19,786",89,121,617,469,1.7,1.3
강남구,1분기,"56,417","4,135","52,282","33,895",141,293,"1,100",780,1.9,1.4
송파구,1분기,"37,686","3,076","34,610","36,290",199,119,772,556,2,1.5
강동구,1분기,"21,314","1,941","19,373","43,742",180,29,463,308,2.2,1.4
서울시 전체,2분기,"577,194","45,297","531,897","36,608",159,79,"13,730","9,001",2.4,1.6
종로구,2분기,"24,807","1,463","23,344","21,203",63,99,450,302,1.8,1.2
중구,2분기,"37,212","1,860","35,352","47,546",126,336,437,388,1.2,1
용산구,2분기,"18,969","1,149","17,820","26,575",108,83,438,271,2.3,1.4
성동구,2분기,"17,463","1,319","16,144","38,776",177,49,475,295,2.7,1.7
광진구,2분기,"19,076","1,628","17,448","52,125",196,46,498,334,2.6,1.8
동대문구,2분기,"21,022","1,481","19,541","67,266",236,55,501,302,2.4,1.4
중랑구,2분기,"16,466","1,312","15,154","51,104",216,22,439,274,2.7,1.7
성북구,2분기,"17,176","1,528","15,648","43,375",177,45,415,233,2.4,1.4
강북구,2분기,"13,526","1,051","12,475","34,279",130,12,373,241,2.8,1.8
도봉구,2분기,"11,843","1,013","10,830","28,677",156,17,308,226,2.6,1.9
노원구,2분기,"18,388","1,816","16,572","25,312",147,16,459,292,2.5,1.6
은평구,2분기,"18,677","1,577","17,100","37,219",154,16,485,315,2.6,1.7
서대문구,2분기,"14,957","1,455","13,502","53,464",180,38,350,245,2.3,1.6
마포구,2분기,"29,030","2,303","26,727","42,779",151,58,893,542,3.1,1.9
양천구,2분기,"18,705","1,637","17,068","45,514",254,78,491,346,2.6,1.8
강서구,2분기,"27,077","2,570","24,507","25,809",135,35,862,468,3.2,1.7
구로구,2분기,"22,218","1,790","20,428","35,555",200,70,443,316,2,1.4
금천구,2분기,"15,719","1,302","14,417","30,328",183,100,340,252,2.2,1.6
영등포구,2분기,"27,207","2,210","24,997","45,265",176,185,593,399,2.2,1.5
동작구,2분기,"15,698","1,477","14,221","46,535",224,44,377,236,2.4,1.5
관악구,2분기,"19,883","1,843","18,040","42,119",166,25,529,378,2.7,1.9
서초구,2분기,"36,265","2,428","33,837","20,119",89,121,712,487,2,1.3
강남구,2분기,"56,587","4,106","52,481","35,311",141,293,"1,338",882,2.4,1.6
송파구,2분기,"37,842","3,058","34,784","36,299",199,119,951,597,2.5,1.6
강동구,2분기,"21,381","1,921","19,460","43,184",180,29,573,380,2.7,1.8
서울시 전체,3분기,"575,039","44,729","530,310","35,790",159,79,"13,397","15,201",2.3,2.6
종로구,3분기,"24,758","1,454","23,304","20,461",63,99,459,502,1.9,2
중구,3분기,"36,837","1,827","35,010","45,858",126,336,447,794,1.2,2.2
용산구,3분기,"18,942","1,135","17,807","25,914",108,83,396,408,2.1,2.2
성동구,3분기,"17,426","1,307","16,119","37,940",177,49,406,430,2.3,2.5
광진구,3분기,"19,003","1,622","17,381","50,508",196,46,475,540,2.5,2.8
동대문구,3분기,"20,902","1,465","19,437","64,944",236,55,425,534,2,2.6
중랑구,3분기,"16,397","1,293","15,104","49,884",216,22,460,524,2.8,3.2
성북구,3분기,"17,119","1,524","15,595","42,050",177,45,436,474,2.5,2.8
강북구,3분기,"13,477","1,045","12,432","33,667",130,12,364,400,2.7,3
도봉구,3분기,"11,788",998,"10,790","27,920",156,17,291,345,2.5,2.9
노원구,3분기,"18,289","1,793","16,496","24,533",147,16,456,543,2.5,3
은평구,3분기,"18,599","1,566","17,033","36,400",154,16,468,540,2.5,2.9
서대문구,3분기,"14,913","1,433","13,480","52,360",180,38,405,438,2.7,2.9
마포구,3분기,"29,071","2,253","26,818","42,256",151,58,888,835,3.1,2.9
양천구,3분기,"18,598","1,619","16,979","44,181",254,78,420,522,2.3,2.8
강서구,3분기,"26,977","2,545","24,432","25,494",135,35,817,912,3,3.4
구로구,3분기,"22,111","1,750","20,361","35,156",200,70,470,556,2.1,2.5
금천구,3분기,"15,690","1,305","14,385","29,881",183,100,380,393,2.4,2.5
영등포구,3분기,"27,104","2,194","24,910","44,849",176,185,645,731,2.4,2.7
동작구,3분기,"15,591","1,450","14,141","45,182",224,44,347,437,2.2,2.8
관악구,3분기,"19,717","1,819","17,898","41,141",166,25,538,691,2.7,3.5
서초구,3분기,"36,182","2,391","33,791","19,558",89,121,634,702,1.8,1.9
강남구,3분기,"56,542","4,042","52,500","34,971",141,293,"1,258","1,261",2.2,2.2
송파구,3분기,"37,748","3,010","34,738","35,427",199,119,969,1042,2.6,2.8
강동구,3분기,"21,258","1,889","19,369","42,407",180,29,543,647,2.6,3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
